cod,uf,precom,subitem,cod_subitem,grupo,partic,rm,peso
6202004,15,2113.664369047619,Hospitalização e cirurgia,06202004,saude e higiene,.239999994635582,1,.0027049873
2201003,43,2.811651851851852,Carvão vegetal,02201003,habitacao,0,4,0
1103003,32,3.0675,Batata-inglesa,01103003,alimentação,.1700000017881393,3,.0018378379
1201003,35,14.71662845506102,Lanche,01201003,alimentação,1.720000028610229,3,.018551474
5102010,26,244.8418833333333,Pneu,05102010,transporte,.239999994635582,2,.0025756599
3101016,52,420.8186340332031,Móvel infantil,03101016,utencilios do lar,.1099999994039536,5,.0012024486
1104023,33,52.22596866174225,Chocolate em barra e bombom,01104023,alimentação,.119999997317791,3,.0013573124
6101013,32,17.85953315696649,Psicotrópico e anorexígeno,06101013,saude e higiene,.3700000047683716,3,.0040000002
5102010,50,230.3425399264706,Pneu,05102010,transporte,.300000011920929,5,.0032019641
1106012,50,4.779307842254639,Laranja - lima,01106012,alimentação,0,5,0
1106011,15,6.098746776580811,Laranja - baía,01106011,alimentação,0,1,0
2103039,43,.5793534482758621,Cimento,02103039,habitacao,0,4,0
